Date,Open,High,Low,Close,Adj Close,Volume
2013-01-28,31.500000,31.740000,30.469999,31.010000,29.694593,66789100
2013-02-04,31.090000,33.480000,30.750000,33.049999,31.648056,21234800
2013-02-11,33.060001,34.090000,32.770000,33.980000,32.538616,12764100
2013-02-18,34.020000,34.070000,31.860001,32.590000,31.207573,7246600
2013-02-25,32.680000,34.700001,31.990000,34.599998,33.132305,8536600
2013-03-04,34.799999,34.889999,33.560001,34.090000,32.643951,5941900
2013-03-11,33.970001,35.419998,33.080002,33.439999,32.021515,10085100
2013-03-18,32.750000,34.000000,32.330002,33.119999,31.715094,6930000
2013-03-25,33.480000,33.500000,32.000000,33.400002,31.983210,12052800
2013-04-01,33.419998,33.590000,30.570000,31.959999,30.604298,9498100
2013-04-08,31.950001,33.759998,31.770000,33.230000,31.820427,7489200
2013-04-15,33.070000,33.369999,31.809999,32.709999,31.322479,9210400
2013-04-22,32.900002,32.959999,30.420000,32.639999,31.255453,10745500
2013-04-29,32.950001,34.740002,32.169998,33.209999,31.801281,8189700
2013-05-06,33.349998,33.669998,32.290001,33.180000,31.835949,3749800
2013-05-13,33.060001,33.900002,32.560001,33.900002,32.526791,4115100
2013-05-20,33.900002,34.000000,31.750000,33.459999,32.104599,43354200
2013-05-27,33.799999,34.279999,31.799999,32.000000,30.703745,18502500
2013-06-03,32.009998,32.990002,31.209999,31.500000,30.224001,19486100
2013-06-10,31.830000,32.110001,30.610001,30.799999,29.552351,35522900
2013-06-17,31.400000,31.760000,30.049999,30.600000,29.360456,123187900
2013-06-24,30.150000,31.900000,29.400000,30.889999,29.638702,114206500
2013-07-01,31.020000,31.059999,28.969999,30.170000,28.947870,52507500
2013-07-08,30.450001,31.450001,30.219999,31.350000,30.080074,40802400
2013-07-15,31.309999,31.650000,30.120001,30.240000,29.015041,25048800
2013-07-22,30.360001,30.590000,29.660000,30.430000,29.197342,24762200
2013-07-29,30.270000,30.959999,29.459999,30.940001,29.686682,27421800
2013-08-05,30.469999,32.500000,30.469999,30.910000,29.722097,35620600
2013-08-12,30.680000,30.990000,29.750000,30.000000,28.847075,22265800
2013-08-19,29.910000,30.410000,29.570000,30.200001,29.039391,15378500
2013-08-26,30.160000,30.160000,28.809999,29.150000,28.029747,26236700
2013-09-02,29.459999,30.950001,29.190001,30.610001,29.433634,16173300
2013-09-09,30.639999,31.820000,30.360001,31.049999,29.856720,20084700
2013-09-16,31.440001,32.900002,31.389999,32.189999,30.952909,31099700
2013-09-23,32.189999,32.189999,31.030001,31.150000,29.952883,13380100
2013-09-30,31.100000,32.560001,30.930000,32.049999,30.818293,17541100
2013-10-07,31.700001,32.770000,31.080000,32.400002,31.154848,22515000
2013-10-14,32.029999,33.299999,31.860001,33.220001,31.943336,15351200
2013-10-21,33.160000,33.340000,32.259998,32.470001,31.222160,12412400
2013-10-28,32.529999,32.610001,31.379999,31.840000,30.616365,21079200
2013-11-04,31.840000,32.180000,30.860001,31.590000,30.437740,27072500
2013-11-11,31.700001,32.180000,31.280001,31.809999,30.649715,17009400
2013-11-18,31.840000,31.959999,31.200001,31.360001,30.216131,16148600
2013-11-25,31.410000,31.920000,31.059999,31.150000,30.013792,11960000
2013-12-02,31.309999,31.709999,30.889999,31.540001,30.389563,22538100
2013-12-09,31.559999,31.940001,30.760000,31.580000,30.428104,17342000
2013-12-16,31.670000,32.689999,31.299999,32.380001,31.198925,16078000
2013-12-23,32.610001,32.779999,32.070000,32.669998,31.478342,5671200
2013-12-30,32.740002,32.840000,32.020000,32.049999,30.880964,9175000
2014-01-06,32.299999,32.730000,31.510000,32.540001,31.353090,14370500
2014-01-13,32.389999,32.419998,31.629999,31.730000,30.572634,13756500
2014-01-20,31.980000,32.090000,31.260000,31.459999,30.312481,19160200
2014-01-27,31.530001,31.620001,30.070000,30.360001,29.252604,24292000
2014-02-03,30.400000,30.799999,29.950001,30.700001,29.648275,21442600
2014-02-10,30.780001,31.530001,28.770000,29.879999,28.856367,63333800
2014-02-17,29.910000,30.590000,29.530001,29.610001,28.595615,20192700
2014-02-24,29.780001,31.020000,29.549999,31.020000,29.957312,20130300
2014-03-03,30.879999,31.299999,30.469999,30.580000,29.532379,21474700
2014-03-10,30.620001,30.639999,29.059999,29.420000,28.412123,19020400
2014-03-17,29.480000,30.430000,29.190001,29.260000,28.257607,28323900
2014-03-24,29.320000,29.510000,28.910000,29.010000,28.016167,21112700
2014-03-31,29.070000,30.010000,28.660000,29.320000,28.315552,22548300
2014-04-07,29.250000,29.320000,28.280001,28.400000,27.427063,21007700
2014-04-14,28.480000,28.780001,28.139999,28.600000,27.620218,13437300
2014-04-21,28.700001,30.290001,28.530001,30.160000,29.126774,25864400
2014-04-28,30.520000,30.750000,29.959999,30.639999,29.734621,16601300
